whr_id,country_id,region_id,year,happiness,gdp_per_capita,social_support,life_expectancy,freedom,govt_corruption,generosity
1,1,1,2015,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678
2,2,1,2015,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363
3,3,1,2015,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
4,4,1,2015,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
5,5,2,2015,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
6,6,1,2015,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351
7,7,1,2015,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761
8,8,1,2015,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262
9,9,3,2015,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501
10,10,3,2015,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562
11,11,4,2015,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172
12,12,5,2015,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497
13,13,1,2015,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088
14,14,5,2015,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074
15,15,2,2015,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105
16,16,5,2015,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574
17,17,1,2015,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034
18,18,1,2015,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901
19,19,1,2015,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225
20,20,4,2015,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428
21,21,1,2015,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912
22,22,4,2015,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542
23,23,5,2015,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841
24,24,6,2015,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105
25,25,5,2015,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434
26,26,1,2015,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214
27,27,5,2015,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363
28,28,4,2015,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573
29,29,1,2015,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332
30,30,5,2015,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451
31,31,7,2015,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686
32,32,5,2015,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324
33,33,5,2015,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401
34,34,6,2015,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763
35,35,4,2015,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706
36,36,1,2015,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227
37,37,1,2015,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752
39,38,4,2015,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228
40,39,5,2015,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991
42,40,5,2015,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692
43,41,5,2015,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489
44,42,7,2015,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837
45,43,7,2015,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893
46,44,8,2015,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705
47,45,8,2015,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557
48,46,5,2015,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541
49,47,4,2015,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362
50,48,1,2015,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823
51,49,5,2015,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536
52,50,7,2015,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951
53,51,5,2015,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424
54,52,7,2015,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827
55,53,7,2015,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328
56,54,7,2015,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641
57,55,5,2015,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815
58,56,5,2015,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982
59,57,7,2015,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046
60,58,7,2015,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759
61,59,6,2015,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075
62,60,7,2015,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444
63,61,4,2015,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295
64,62,7,2015,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199
65,63,5,2015,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123
66,64,1,2015,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169
67,65,1,2015,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638
68,66,4,2015,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822
69,67,7,2015,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831
70,68,7,2015,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979
71,69,9,2015,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744
73,70,7,2015,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868
74,71,6,2015,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535
75,72,6,2015,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686
76,73,4,2015,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253
77,74,7,2015,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003
78,75,9,2015,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233
79,76,10,2015,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998
80,77,7,2015,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799
81,78,10,2015,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671
82,79,4,2015,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053
83,80,7,2015,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614
84,81,8,2015,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185
85,82,9,2015,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
86,83,7,2015,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748
87,84,7,2015,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231
88,85,1,2015,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719
89,86,7,2015,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226
90,87,6,2015,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991
91,88,9,2015,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318
92,89,4,2015,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172
93,90,7,2015,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359
94,91,9,2015,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269
95,92,7,2015,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272
96,93,7,2015,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808
97,94,9,2015,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388
98,95,5,2015,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684
99,96,6,2015,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192
100,97,8,2015,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323
101,98,9,2015,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259
102,99,1,2015,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0
103,100,4,2015,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854
104,101,7,2015,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128
105,102,5,2015,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027
106,103,7,2015,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974
107,104,4,2015,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431
109,105,10,2015,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222
110,106,4,2015,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086
111,107,7,2015,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275
112,108,4,2015,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922
113,109,9,2015,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973
114,110,9,2015,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087
115,111,9,2015,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987
116,112,9,2015,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362
117,113,10,2015,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475
118,114,9,2015,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062
119,115,5,2015,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187
121,116,10,2015,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296
122,117,9,2015,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325
123,118,9,2015,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488
124,119,9,2015,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219
125,120,9,2015,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542
126,121,9,2015,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093
127,122,7,2015,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855
128,123,9,2015,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461
129,124,6,2015,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588
130,125,7,2015,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547
131,126,9,2015,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128
132,127,10,2015,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828
133,128,9,2015,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618
134,129,7,2015,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921
135,130,4,2015,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291
136,131,4,2015,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131
137,132,9,2015,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344
138,133,9,2015,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798
140,134,9,2015,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441
141,135,9,2015,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066
142,136,9,2015,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843
143,137,9,2015,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822
144,138,9,2015,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387
145,139,6,2015,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359
146,140,9,2015,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377
147,141,9,2015,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333
148,142,9,2015,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835
149,143,9,2015,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386
150,144,9,2015,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657
151,145,9,2015,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165
152,146,9,2015,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747
153,147,10,2015,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
154,148,9,2015,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628
155,149,9,2015,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
156,150,4,2015,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179
157,151,9,2015,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727
158,152,9,2015,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681
159,3,1,2016,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171
160,1,1,2016,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083
161,2,1,2016,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678
162,4,1,2016,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
163,6,1,2016,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492
164,5,2,2016,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834
165,7,1,2016,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416
166,9,3,2016,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401
167,10,3,2016,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407
168,8,1,2016,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
169,11,4,2016,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288
170,13,1,2016,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865
171,15,2,2016,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077
172,12,5,2016,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553
173,153,5,2016,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202
174,26,1,2016,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452
175,16,5,2016,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776
176,19,1,2016,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424
177,18,1,2016,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963
178,17,1,2016,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571
179,14,5,2016,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735
180,24,6,2016,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706
181,21,1,2016,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156
182,27,5,2016,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595
183,25,5,2016,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418
184,30,5,2016,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989
185,31,7,2016,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929
186,20,4,2016,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591
187,32,5,2016,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056
188,37,1,2016,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237
189,33,5,2016,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626
190,29,1,2016,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216
191,34,6,2016,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696
192,35,4,2016,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457
194,28,4,2016,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388
195,36,1,2016,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665
196,66,4,2016,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044
197,41,5,2016,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808
198,39,5,2016,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665
199,38,4,2016,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965
200,47,4,2016,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147
202,23,5,2016,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425
203,43,7,2016,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837
204,40,5,2016,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877
205,59,6,2016,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474
206,55,5,2016,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773
207,42,7,2016,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326
208,48,1,2016,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684
209,46,5,2016,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074
210,154,5,2016,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684
211,44,8,2016,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224
212,52,7,2016,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011
213,50,7,2016,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997
214,62,7,2016,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736
215,58,7,2016,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443
216,45,8,2016,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824
217,49,5,2016,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698
218,54,7,2016,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025
219,57,7,2016,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942
220,64,1,2016,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322
221,53,7,2016,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738
222,56,5,2016,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527
223,68,7,2016,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567
224,69,9,2016,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951
225,61,4,2016,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087
226,86,7,2016,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445
227,65,1,2016,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906
228,51,5,2016,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296
229,83,7,2016,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889
230,70,7,2016,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423
231,63,5,2016,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245
232,60,7,2016,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434
235,67,7,2016,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992
236,73,4,2016,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707
237,71,6,2016,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521
238,79,4,2016,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262
239,77,7,2016,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564
240,87,6,2016,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674
241,81,8,2016,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959
242,76,10,2016,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546
243,74,7,2016,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432
244,84,7,2016,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737
245,93,7,2016,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889
246,80,7,2016,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191
247,95,5,2016,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286
248,89,4,2016,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053
249,101,7,2016,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099
250,78,10,2016,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185
251,100,4,2016,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693
252,85,1,2016,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691
253,90,7,2016,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507
254,72,6,2016,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075
256,104,4,2016,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936
257,99,1,2016,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0
258,103,7,2016,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998
259,97,8,2016,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539
260,96,6,2016,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079
261,75,9,2016,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219
262,102,5,2016,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044
263,106,4,2016,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538
264,82,9,2016,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866
265,116,10,2016,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816
267,92,7,2016,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
268,105,10,2016,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132
